"index","archive","name","beginning","ending"
1,"Agua de Nieve.txt","Agua de Nieve",19,9810
2,"Cañas y barro.txt","Cañas y barro",24,8496
3,"Despertar Para Morir.txt","Despertar Para Morir",19,7943
4,"Don Quijote.txt","Don Quijote",19,37501
5,"Doña Perfecta.txt","Doña Perfecta",391,9912
6,"Dulce Nombre.txt","Dulce Nombre",18,5746
7,"El arbol de la ciencia.txt","El arbol de la ciencia",19,9425
8,"El Estudiante de Salamanca.txt","El Estudiante de Salamanca",21,8591
9,"El Quijote apócrifo.txt","El Quijote apócrifo",23,12032
10,"Flor de mayo.txt","Flor de mayo",18,8348
11,"Gloria.txt","Gloria",22,16634
12,"Historia natural y moral de las Indias.txt","Historia natural y moral de las Indias",21,8411
13,"La Barraca.txt","La Barraca",18,7295
14,"La Catedral.txt","La Catedral",19,9956
15,"La dama joven.txt","La dama joven",18,8316
16,"La Quimera.txt","La Quimera",20,15577
17,"La Regenta.txt","La Regenta",18,34300
18,"La Sirena Negra.txt","La Sirena Negra",18,4480
19,"La venganza de Don Mendo.txt","La venganza de Don Mendo",19,7239
20,"La vida de Lazarillo de tormes.txt","La vida de Lazarillo de tormes",20,2146
21,"Los Caudillos.txt","Los Caudillos",20,6393
22,"Los pazos de Ulloa.txt","Los pazos de Ulloa",19,9131
23,"Memorias de un Hombre de Acción.txt","Memorias de un Hombre de Acción",23,9713
24,"Niebla.txt","Niebla",23,8364
25,"Novelas ejemplares.txt","Novelas ejemplares",19,18986
26,"Ramón Gómez de la Serna.txt","Ramón Gómez de la Serna",20,6731
27,"Romancero selecto del Cid.txt","Romancero selecto del Cid",23,8555
28,"Tres novelas ejemplares y un prólogo.txt","Tres novelas ejemplares y un prólogo",21,4135
29,"Viaje al Parnaso.txt","Viaje al Parnaso",19,11999
30,"Zalacaín El Aventurero.txt","Zalacaín El Aventurero",18,7291
31,"América.txt","América",21,4915
32,"Apocalipsis.txt","Apocalipsis",19,14686
