"","x"
"1","Agua de Nieve.txt"
"2","Cañas y barro.txt"
"3","Despertar Para Morir.txt"
"4","Don Quijote.txt"
"5","Doña Perfecta.txt"
"6","Dulce Nombre.txt"
"7","El arbol de la ciencia.txt"
"8","El Estudiante de Salamanca.txt"
"9","El Quijote apócrifo.txt"
"10","Flor de mayo.txt"
"11","Gloria.txt"
"12","Historia natural y moral de las Indias.txt"
"13","La Barraca.txt"
"14","La Catedral.txt"
"15","La dama joven.txt"
"16","La Quimera.txt"
"17","La Regenta.txt"
"18","La Sirena Negra.txt"
"19","La venganza de Don Mendo.txt"
"20","La vida de Lazarillo de tormes.txt"
"21","Los Caudillos.txt"
"22","Los pazos de Ulloa.txt"
"23","Memorias de un Hombre de Acción.txt"
"24","Niebla.txt"
"25","Novelas ejemplares.txt"
"26","Ramón Gómez de la Serna.txt"
"27","Romancero selecto del Cid.txt"
"28","Tres novelas ejemplares y un prólogo.txt"
"29","Viaje al Parnaso.txt"
"30","Zalacaín El Aventurero.txt"
